Number of model parameters: 79003758
Epoch: [0][0/374]	Time 44.241 (44.241)	Loss 4.9390 (4.9390)
Epoch: [0][10/374]	Time 0.808 (5.036)	Loss 3.5217 (4.1288)
Epoch: [0][20/374]	Time 0.778 (3.070)	Loss 3.3070 (3.7557)
Epoch: [0][30/374]	Time 0.842 (2.339)	Loss 3.0381 (3.5874)
Epoch: [0][40/374]	Time 0.796 (1.963)	Loss 2.9612 (3.4475)
Epoch: [0][50/374]	Time 0.835 (1.750)	Loss 2.7733 (3.3545)
Epoch: [0][60/374]	Time 0.780 (1.593)	Loss 3.1223 (3.2884)
Epoch: [0][70/374]	Time 0.849 (1.483)	Loss 2.9900 (3.2509)
Epoch: [0][80/374]	Time 1.146 (1.406)	Loss 2.4778 (3.2182)
Epoch: [0][90/374]	Time 0.879 (1.345)	Loss 3.1412 (3.1979)
Epoch: [0][100/374]	Time 0.848 (1.292)	Loss 2.7858 (3.1671)
Epoch: [0][110/374]	Time 0.794 (1.248)	Loss 2.9958 (3.1439)
Epoch: [0][120/374]	Time 0.780 (1.217)	Loss 2.7579 (3.1278)
Epoch: [0][130/374]	Time 0.778 (1.186)	Loss 2.8735 (3.1104)
Epoch: [0][140/374]	Time 0.867 (1.158)	Loss 2.6773 (3.0869)
Epoch: [0][150/374]	Time 0.792 (1.133)	Loss 2.4091 (3.0574)
Epoch: [0][160/374]	Time 0.848 (1.119)	Loss 2.9162 (3.0427)
Epoch: [0][170/374]	Time 0.797 (1.101)	Loss 2.6985 (3.0311)
Epoch: [0][180/374]	Time 0.843 (1.086)	Loss 2.5518 (3.0104)
Epoch: [0][190/374]	Time 0.803 (1.071)	Loss 2.3091 (2.9997)
Epoch: [0][200/374]	Time 0.806 (1.064)	Loss 2.4510 (2.9872)
Epoch: [0][210/374]	Time 0.815 (1.053)	Loss 3.0349 (2.9710)
Epoch: [0][220/374]	Time 0.952 (1.046)	Loss 2.7121 (2.9606)
Epoch: [0][230/374]	Time 0.883 (1.040)	Loss 2.4263 (2.9491)
Epoch: [0][240/374]	Time 0.902 (1.034)	Loss 2.7574 (2.9353)
Epoch: [0][250/374]	Time 0.936 (1.028)	Loss 2.6966 (2.9278)
Epoch: [0][260/374]	Time 0.795 (1.020)	Loss 2.3921 (2.9200)
Epoch: [0][270/374]	Time 0.814 (1.012)	Loss 2.4670 (2.9114)
Epoch: [0][280/374]	Time 0.782 (1.006)	Loss 2.5242 (2.9044)
Epoch: [0][290/374]	Time 0.816 (0.999)	Loss 2.1661 (2.8875)
Epoch: [0][300/374]	Time 0.831 (0.992)	Loss 2.2713 (2.8751)
Epoch: [0][310/374]	Time 0.799 (0.987)	Loss 2.5972 (2.8606)
Epoch: [0][320/374]	Time 0.809 (0.981)	Loss 2.3302 (2.8471)
Epoch: [0][330/374]	Time 0.816 (0.976)	Loss 2.7520 (2.8420)
Epoch: [0][340/374]	Time 0.815 (0.972)	Loss 2.3812 (2.8309)
Epoch: [0][350/374]	Time 0.825 (0.968)	Loss 2.0770 (2.8221)
Epoch: [0][360/374]	Time 0.849 (0.963)	Loss 2.3403 (2.8187)
Epoch: [0][370/374]	Time 0.944 (0.960)	Loss 2.8033 (2.8098)
Test: [0/267]	Time 1.336 (1.336)	Loss 1.3498 (1.3498)
Test: [10/267]	Time 0.955 (1.010)	Loss 1.4854 (1.4430)
Test: [20/267]	Time 0.907 (0.988)	Loss 1.5729 (1.4187)
Test: [30/267]	Time 0.898 (1.008)	Loss 1.1748 (1.3861)
Test: [40/267]	Time 1.039 (0.996)	Loss 1.2712 (1.3806)
Test: [50/267]	Time 1.017 (0.985)	Loss 1.3248 (1.3325)
Test: [60/267]	Time 1.379 (0.987)	Loss 1.0841 (1.3258)
Test: [70/267]	Time 0.980 (0.998)	Loss 1.2301 (1.3058)
Test: [80/267]	Time 1.035 (1.002)	Loss 1.7017 (1.3123)
Test: [90/267]	Time 1.008 (1.004)	Loss 2.0787 (1.3212)
Test: [100/267]	Time 0.992 (1.007)	Loss 0.9252 (1.3386)
Test: [110/267]	Time 0.911 (1.007)	Loss 1.4229 (1.3460)
Test: [120/267]	Time 0.943 (1.003)	Loss 1.3153 (1.3446)
Test: [130/267]	Time 1.085 (1.006)	Loss 1.2815 (1.3560)
Test: [140/267]	Time 1.019 (1.004)	Loss 1.1429 (1.3511)
Test: [150/267]	Time 0.995 (1.001)	Loss 2.0221 (1.3461)
Test: [160/267]	Time 0.955 (1.005)	Loss 1.4719 (1.4003)
Test: [170/267]	Time 0.965 (1.001)	Loss 1.5291 (1.4006)
Test: [180/267]	Time 1.004 (1.003)	Loss 1.5911 (1.4096)
Test: [190/267]	Time 0.951 (1.002)	Loss 0.7878 (1.4203)
Test: [200/267]	Time 0.955 (1.001)	Loss 1.5753 (1.3993)
Test: [210/267]	Time 0.948 (1.003)	Loss 1.0419 (1.3852)
Test: [220/267]	Time 1.002 (1.002)	Loss 1.1408 (1.3698)
Test: [230/267]	Time 1.230 (1.001)	Loss 1.1364 (1.3591)
Test: [240/267]	Time 0.962 (1.003)	Loss 1.9057 (1.3539)
